long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,13.08,-1.747222,22.42234,-1.747222,33.46,,,,,
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,0.0,5.28688279863154,32.84,83.0,0.176796152450418,,,,,,,,-21.03,0.135025766789286,0.0911351611736939,0.0459136084399056,0.0685024834305279
-110.0472,37.60413,2021,NT,8.5,sc51,0,0,84,5,11,7,,,,,,3.21,11.97,11.97,-0.03755556,24.20826,-0.03755556,36.07,,,,,
-110.0472,37.60413,2021,NT,8.5,sc51,0,0,84,5,11,7,,,,,,3.21,11.97,11.97,-0.03755556,24.20826,24.20826,36.07,,,,,
-110.0472,37.60413,2021,NT,8.5,sc51,0,0,84,5,11,7,,,,,,3.21,11.97,3.21,-0.03755556,24.20826,-0.03755556,36.07,,,,,
-110.0472,37.60413,2021,NT,8.5,sc51,0,0,84,5,11,7,,,,,,3.21,11.97,3.21,-0.03755556,24.20826,24.20826,36.07,,,,,
-110.0472,37.60413,2021,NT,8.5,sc51,0,0,84,5,11,7,0.0,4.52829421065933,35.056,78.0,0.411939042496037,,,,,,,,-15.26,0.131177550735513,0.0681520354913971,0.0501493510784005,0.112948697183764
-110.0472,37.60413,2021,NT,8.5,sc52,0,0,84,5,11,7,,,,,,16.88,10.36,10.36,-4.154111,23.50728,23.50728,36.14,,,,,
-110.0472,37.60413,2021,NT,8.5,sc52,0,0,84,5,11,7,,,,,,16.88,10.36,10.36,-4.154111,23.50728,-4.154111,36.14,,,,,
-110.0472,37.60413,2021,NT,8.5,sc52,0,0,84,5,11,7,,,,,,16.88,10.36,16.88,-4.154111,23.50728,23.50728,36.14,,,,,
-110.0472,37.60413,2021,NT,8.5,sc52,0,0,84,5,11,7,,,,,,16.88,10.36,16.88,-4.154111,23.50728,-4.154111,36.14,,,,,
-110.0472,37.60413,2021,NT,8.5,sc52,0,0,84,5,11,7,0.0,4.49818276930105,34.804,87.0,0.441357238379554,,,,,,,,-18.29,0.128308991373558,0.0950688414188771,0.0506688899341978,0.0623926579229071
-110.0472,37.60413,2021,NT,8.5,sc53,0,0,84,5,11,7,,,,,,1.65,4.45,8.77,0.5523889,24.04897,24.04897,37.64,,,,,
-110.0472,37.60413,2021,NT,8.5,sc53,0,0,84,5,11,7,,,,,,1.65,4.45,8.77,0.5523889,24.04897,12.83626,37.64,,,,,
-110.0472,37.60413,2021,NT,8.5,sc53,0,0,84,5,11,7,,,,,,1.65,4.45,4.45,0.5523889,24.04897,24.04897,37.64,,,,,
-110.0472,37.60413,2021,NT,8.5,sc53,0,0,84,5,11,7,,,,,,1.65,4.45,4.45,0.5523889,24.04897,12.83626,37.64,,,,,
-110.0472,37.60413,2021,NT,8.5,sc53,0,0,84,5,11,7,0.0,3.0149337063624,36.128,85.0,0.0035441070521625,,,,,,,,-13.8,0.0426846519277657,0.0416426553404185,0.0416115369482682,0.0814521392200574
-110.0472,37.60413,2021,NT,8.5,sc54,0,0,84,5,11,7,,,,,,10.15,2.89,2.89,-0.7743889,25.37935,25.37935,37.43,,,,,
-110.0472,37.60413,2021,NT,8.5,sc54,0,0,84,5,11,7,0.0,2.06494941099181,36.975,81.0,0.0007380486568517,,,,,,,,-15.32,0.0795697132351128,0.091675429402125,0.0411432381140208,0.0424702433645585
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,13.53,1.796111,22.17935,22.17935,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,7.83,1.796111,22.17935,22.17935,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,10.38,1.796111,22.17935,1.796111,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,7.83,1.796111,22.17935,1.796111,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,10.38,1.796111,22.17935,12.24978,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,13.53,1.796111,22.17935,1.796111,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,7.83,1.796111,22.17935,12.24978,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,10.38,1.796111,22.17935,22.17935,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,,,,,,7.83,13.53,13.53,1.796111,22.17935,12.24978,36.92,,,,,
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,0.0,6.37925532249735,35.185,73.0,0.381092935056554,,,,,,,,-12.56,0.13410389012672,0.088944263959432,0.0498185042483392,0.0680239987349579
-110.0472,37.60413,2021,NT,8.5,sc56,0,0,84,5,11,7,,,,,,9.38,11.24,6.54,0.88,23.0887,0.88,35.88,,,,,
-110.0472,37.60413,2021,NT,8.5,sc56,0,0,84,5,11,7,,,,,,9.38,11.24,6.54,0.88,23.0887,12.97907,35.88,,,,,
-110.0472,37.60413,2021,NT,8.5,sc56,0,0,84,5,11,7,,,,,,9.38,11.24,9.38,0.88,23.0887,0.88,35.88,,,,,
-110.0472,37.60413,2021,NT,8.5,sc56,0,0,84,5,11,7,,,,,,9.38,11.24,9.38,0.88,23.0887,12.97907,35.88,,,,,
-110.0472,37.60413,2021,NT,8.5,sc56,0,0,84,5,11,7,0.0,4.67825652815689,34.823,80.0,0.373598744610026,,,,,,,,-13.03,0.133781560138879,0.0860079824090223,0.0497782937313554,0.0582455772310411
-110.0472,37.60413,2021,NT,8.5,sc57,0,0,84,5,11,7,,,,,,8.76,5.23,8.76,4.756333,24.42685,4.756333,39.57,,,,,
-110.0472,37.60413,2021,NT,8.5,sc57,0,0,84,5,11,7,0.0,2.58990849998046,36.848,48.0,0.0502501775371778,,,,,,,,-7.82,0.0890827421837427,0.0890825892773937,0.0424219828259147,0.0527861252600394
-110.0472,37.60413,2021,NT,8.5,sc58,0,0,84,5,11,7,,,,,,3.27,12.95,3.97,1.644222,25.95793,14.18402,46.11,,,,,
-110.0472,37.60413,2021,NT,8.5,sc58,0,0,84,5,11,7,0.0,5.08728414581095,40.56,59.0,0.208729027365247,,,,,,,,-21.87,0.0607138528389159,0.0442883996826922,0.0464078019729451,0.0474029566995807
-110.0472,37.60413,2021,NT,8.5,sc59,0,0,84,5,11,7,,,,,,3.68,7.01,3.68,4.044722,24.7375,4.044722,37.4,,,,,
-110.0472,37.60413,2021,NT,8.5,sc59,0,0,84,5,11,7,0.0,3.17034328621293,36.195,54.0,0.0858794340659921,,,,,,,,-7.98,0.0954227924117117,0.0579106168908534,0.0427773605533978,0.12553440548141
